2026-08-13T13:01:27.075Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting.local","logFile":".setting.local\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-08-13T13:01:27.077Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{"listChanged":true},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.222","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-08-13T13:01:27.077Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{"listChanged":true},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.222","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-08-13T13:01:27.093Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"local_sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"local_get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"local_get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"local_check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"local_get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"localhost","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"laixueya","TOOL_PREFIX":"local","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-08-13T13:01:27.108Z | server_start | {"name":"mysql-mcp-server","version":"1.0.0","logDir":"./.setting.local","logFile":".setting.local\\mcp-mysql.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-08-13T13:01:27.110Z | connection_pool_created | {"host":"localhost","port":3306,"database":"laixueya","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-08-13T13:01:27.110Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-08-13T13:01:27.111Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{"listChanged":true},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.222","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: null
2026-08-13T13:01:27.111Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{"listChanged":true},"elicitation":{}},"clientInfo":{"name":"claude-code","title":"Claude Code","version":"2.1.222","description":"Anthropic's agentic coding tool","websiteUrl":"https://claude.com/claude-code"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}
2026-08-13T13:01:27.200Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"local_sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"local_get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"local_get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"local_check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations. Returns detailed permission status including readonly mode restrictions (only SELECT and SHOW allowed when readonly is enabled)","inputSchema":{"type":"object","properties":{}}},{"name":"local_get_ddl_sql_logs","description":"Get DDL SQL operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50, max 500"},"offset":{"type":"number","description":"Offset, default 0"}}}}],"environment":{"READONLY":false,"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MYSQL_HOST":"localhost","MYSQL_PORT":"3306","MYSQL_USER":"root","MYSQL_DATABASE":"peicai","TOOL_PREFIX":"local","PROJECT_NAME":"","serverInfo":{"name":"mysql-mcp-server","version":"1.0.0"}}}
2026-08-13T13:01:27.220Z | connection_pool_created | {"host":"localhost","port":3306,"database":"peicai","connectionLimit":10} | SUCCESS | RESPONSE: {"status":"success"}
2026-08-13T13:01:27.221Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
